AVPU_SCORE,RR_SCORE,SPO2_SCORE,O2_SCORE,SBP_SCORE,DBP_SCORE,HR_SCORE,TEMP_SCORE,TOTAL_RED,0
Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,0,0
Normal,Normal,Normal,Normal,Normal,Normal,Normal,Red,1,1
Normal,Normal,Normal,Normal,Normal,Normal,Normal,Yellow,0,0
Normal,Normal,Normal,Normal,Normal,Normal,Red,Normal,1,1
Normal,Normal,Normal,Normal,Normal,Normal,Red,Red,2,2
Normal,Normal,Normal,Normal,Normal,Normal,Red,Yellow,1,1
Normal,Normal,Normal,Normal,Normal,Normal,Yellow,Normal,0,0
Normal,Normal,Normal,Normal,Normal,Normal,Yellow,Red,1,1
Normal,Normal,Normal,Normal,Normal,Normal,Yellow,Yellow,0,0
Normal,Normal,Normal,Normal,Normal,Red,Normal,Normal,1,1
Normal,Normal,Normal,Normal,Normal,Red,Normal,Red,2,2
Normal,Normal,Normal,Normal,Normal,Red,Normal,Yellow,1,1
Normal,Normal,Normal,Normal,Normal,Red,Red,Normal,2,2
Normal,Normal,Normal,Normal,Normal,Red,Red,Red,3,3
Normal,Normal,Normal,Normal,Normal,Red,Red,Yellow,2,2
Normal,Normal,Normal,Normal,Normal,Red,Yellow,Normal,1,1
Normal,Normal,Normal,Normal,Normal,Red,Yellow,Red,2,2
Normal,Normal,Normal,Normal,Normal,Red,Yellow,Yellow,1,1
Normal,Normal,Normal,Normal,Normal,Yellow,Normal,Normal,0,0
Normal,Normal,Normal,Normal,Normal,Yellow,Normal,Red,1,1
Normal,Normal,Normal,Normal,Normal,Yellow,Normal,Yellow,0,0
Normal,Normal,Normal,Normal,Normal,Yellow,Red,Normal,1,1
Normal,Normal,Normal,Normal,Normal,Yellow,Red,Red,2,2
Normal,Normal,Normal,Normal,Normal,Yellow,Red,Yellow,1,1
Normal,Normal,Normal,Normal,Normal,Yellow,Yellow,Normal,0,0
Normal,Normal,Normal,Normal,Normal,Yellow,Yellow,Red,1,1
Normal,Normal,Normal,Normal,Normal,Yellow,Yellow,Yellow,0,0
Normal,Normal,Normal,Normal,Red,Normal,Normal,Normal,1,1
Normal,Normal,Normal,Normal,Red,Normal,Normal,Red,2,2
Normal,Normal,Normal,Normal,Red,Normal,Normal,Yellow,1,1
Normal,Normal,Normal,Normal,Red,Normal,Red,Normal,2,2
Normal,Normal,Normal,Normal,Red,Normal,Red,Red,3,3
Normal,Normal,Normal,Normal,Red,Normal,Red,Yellow,2,2
Normal,Normal,Normal,Normal,Red,Normal,Yellow,Normal,1,1
Normal,Normal,Normal,Normal,Red,Normal,Yellow,Red,2,2
Normal,Normal,Normal,Normal,Red,Normal,Yellow,Yellow,1,1
Normal,Normal,Normal,Normal,Red,Red,Normal,Normal,2,2
Normal,Normal,Normal,Normal,Red,Red,Normal,Red,3,3
Normal,Normal,Normal,Normal,Red,Red,Normal,Yellow,2,2
Normal,Normal,Normal,Normal,Red,Red,Red,Normal,3,3
Normal,Normal,Normal,Normal,Red,Red,Red,Red,4,4
Normal,Normal,Normal,Normal,Red,Red,Red,Yellow,3,3
Normal,Normal,Normal,Normal,Red,Red,Yellow,Normal,2,2
Normal,Normal,Normal,Normal,Red,Red,Yellow,Red,3,3
Normal,Normal,Normal,Normal,Red,Red,Yellow,Yellow,2,2
Normal,Normal,Normal,Normal,Red,Yellow,Normal,Normal,1,1
Normal,Normal,Normal,Normal,Red,Yellow,Normal,Red,2,2
Normal,Normal,Normal,Normal,Red,Yellow,Normal,Yellow,1,1
Normal,Normal,Normal,Normal,Red,Yellow,Red,Normal,2,2
Normal,Normal,Normal,Normal,Red,Yellow,Red,Red,3,3
Normal,Normal,Normal,Normal,Red,Yellow,Red,Yellow,2,2
Normal,Normal,Normal,Normal,Red,Yellow,Yellow,Normal,1,1
Normal,Normal,Normal,Normal,Red,Yellow,Yellow,Red,2,2
Normal,Normal,Normal,Normal,Red,Yellow,Yellow,Yellow,1,1
Normal,Normal,Normal,Normal,Yellow,Normal,Normal,Normal,0,0
Normal,Normal,Normal,Normal,Yellow,Normal,Normal,Red,1,1
Normal,Normal,Normal,Normal,Yellow,Normal,Normal,Yellow,0,0
Normal,Normal,Normal,Normal,Yellow,Normal,Red,Normal,1,1
Normal,Normal,Normal,Normal,Yellow,Normal,Red,Red,2,2
Normal,Normal,Normal,Normal,Yellow,Normal,Red,Yellow,1,1
Normal,Normal,Normal,Normal,Yellow,Normal,Yellow,Normal,0,0
Normal,Normal,Normal,Normal,Yellow,Normal,Yellow,Red,1,1
Normal,Normal,Normal,Normal,Yellow,Normal,Yellow,Yellow,0,0
Normal,Normal,Normal,Normal,Yellow,Red,Normal,Normal,1,1
Normal,Normal,Normal,Normal,Yellow,Red,Normal,Red,2,2
Normal,Normal,Normal,Normal,Yellow,Red,Normal,Yellow,1,1
Normal,Normal,Normal,Normal,Yellow,Red,Red,Normal,2,2
Normal,Normal,Normal,Normal,Yellow,Red,Red,Red,3,3
Normal,Normal,Normal,Normal,Yellow,Red,Red,Yellow,2,2
Normal,Normal,Normal,Normal,Yellow,Red,Yellow,Normal,1,1
Normal,Normal,Normal,Normal,Yellow,Red,Yellow,Red,2,2
Normal,Normal,Normal,Normal,Yellow,Red,Yellow,Yellow,1,1
Normal,Normal,Normal,Normal,Yellow,Yellow,Normal,Normal,0,0
Normal,Normal,Normal,Normal,Yellow,Yellow,Normal,Red,1,1
Normal,Normal,Normal,Normal,Yellow,Yellow,Normal,Yellow,0,0
Normal,Normal,Normal,Normal,Yellow,Yellow,Red,Normal,1,1
Normal,Normal,Normal,Normal,Yellow,Yellow,Red,Red,2,2
Normal,Normal,Normal,Normal,Yellow,Yellow,Red,Yellow,1,1
Normal,Normal,Normal,Normal,Yellow,Yellow,Yellow,Normal,0,0
Normal,Normal,Normal,Normal,Yellow,Yellow,Yellow,Red,1,1
Normal,Normal,Normal,Normal,Yellow,Yellow,Yellow,Yellow,0,0
Normal,Normal,Normal,Red,Normal,Normal,Normal,Normal,1,1
Normal,Normal,Normal,Red,Normal,Normal,Normal,Red,2,2
Normal,Normal,Normal,Red,Normal,Normal,Normal,Yellow,1,1
Normal,Normal,Normal,Red,Normal,Normal,Red,Normal,2,2
Normal,Normal,Normal,Red,Normal,Normal,Red,Red,3,3
Normal,Normal,Normal,Red,Normal,Normal,Red,Yellow,2,2
Normal,Normal,Normal,Red,Normal,Normal,Yellow,Normal,1,1
Normal,Normal,Normal,Red,Normal,Normal,Yellow,Red,2,2
Normal,Normal,Normal,Red,Normal,Normal,Yellow,Yellow,1,1
Normal,Normal,Normal,Red,Normal,Red,Normal,Normal,2,2
Normal,Normal,Normal,Red,Normal,Red,Normal,Red,3,3
Normal,Normal,Normal,Red,Normal,Red,Normal,Yellow,2,2
Normal,Normal,Normal,Red,Normal,Red,Red,Normal,3,3
Normal,Normal,Normal,Red,Normal,Red,Red,Red,4,4
Normal,Normal,Normal,Red,Normal,Red,Red,Yellow,3,3
Normal,Normal,Normal,Red,Normal,Red,Yellow,Normal,2,2
Normal,Normal,Normal,Red,Normal,Red,Yellow,Red,3,3
Normal,Normal,Normal,Red,Normal,Red,Yellow,Yellow,2,2
Normal,Normal,Normal,Red,Normal,Yellow,Normal,Normal,1,1
Normal,Normal,Normal,Red,Normal,Yellow,Normal,Red,2,2
Normal,Normal,Normal,Red,Normal,Yellow,Normal,Yellow,1,1
Normal,Normal,Normal,Red,Normal,Yellow,Red,Normal,2,2
Normal,Normal,Normal,Red,Normal,Yellow,Red,Red,3,3
Normal,Normal,Normal,Red,Normal,Yellow,Red,Yellow,2,2
Normal,Normal,Normal,Red,Normal,Yellow,Yellow,Normal,1,1
Normal,Normal,Normal,Red,Normal,Yellow,Yellow,Red,2,2
Normal,Normal,Normal,Red,Normal,Yellow,Yellow,Yellow,1,1
Normal,Normal,Normal,Red,Red,Normal,Normal,Normal,2,2
Normal,Normal,Normal,Red,Red,Normal,Normal,Red,3,3
Normal,Normal,Normal,Red,Red,Normal,Normal,Yellow,2,2
Normal,Normal,Normal,Red,Red,Normal,Red,Normal,3,3
Normal,Normal,Normal,Red,Red,Normal,Red,Red,4,4
Normal,Normal,Normal,Red,Red,Normal,Red,Yellow,3,3
Normal,Normal,Normal,Red,Red,Normal,Yellow,Normal,2,2
Normal,Normal,Normal,Red,Red,Normal,Yellow,Red,3,3
Normal,Normal,Normal,Red,Red,Normal,Yellow,Yellow,2,2
Normal,Normal,Normal,Red,Red,Red,Normal,Normal,3,3
Normal,Normal,Normal,Red,Red,Red,Normal,Red,4,4
Normal,Normal,Normal,Red,Red,Red,Normal,Yellow,3,3
Normal,Normal,Normal,Red,Red,Red,Red,Normal,4,4
Normal,Normal,Normal,Red,Red,Red,Red,Red,5,5
Normal,Normal,Normal,Red,Red,Red,Red,Yellow,4,4
Normal,Normal,Normal,Red,Red,Red,Yellow,Normal,3,3
Normal,Normal,Normal,Red,Red,Red,Yellow,Red,4,4
Normal,Normal,Normal,Red,Red,Red,Yellow,Yellow,3,3
Normal,Normal,Normal,Red,Red,Yellow,Normal,Normal,2,2
Normal,Normal,Normal,Red,Red,Yellow,Normal,Red,3,3
Normal,Normal,Normal,Red,Red,Yellow,Normal,Yellow,2,2
Normal,Normal,Normal,Red,Red,Yellow,Red,Normal,3,3
Normal,Normal,Normal,Red,Red,Yellow,Red,Red,4,4
Normal,Normal,Normal,Red,Red,Yellow,Red,Yellow,3,3
Normal,Normal,Normal,Red,Red,Yellow,Yellow,Normal,2,2
Normal,Normal,Normal,Red,Red,Yellow,Yellow,Red,3,3
Normal,Normal,Normal,Red,Red,Yellow,Yellow,Yellow,2,2
Normal,Normal,Normal,Red,Yellow,Normal,Normal,Normal,1,1
Normal,Normal,Normal,Red,Yellow,Normal,Normal,Red,2,2
Normal,Normal,Normal,Red,Yellow,Normal,Normal,Yellow,1,1
Normal,Normal,Normal,Red,Yellow,Normal,Red,Normal,2,2
Normal,Normal,Normal,Red,Yellow,Normal,Red,Red,3,3
Normal,Normal,Normal,Red,Yellow,Normal,Red,Yellow,2,2
Normal,Normal,Normal,Red,Yellow,Normal,Yellow,Normal,1,1
Normal,Normal,Normal,Red,Yellow,Normal,Yellow,Red,2,2
Normal,Normal,Normal,Red,Yellow,Normal,Yellow,Yellow,1,1
Normal,Normal,Normal,Red,Yellow,Red,Normal,Normal,2,2
Normal,Normal,Normal,Red,Yellow,Red,Normal,Red,3,3
Normal,Normal,Normal,Red,Yellow,Red,Normal,Yellow,2,2
Normal,Normal,Normal,Red,Yellow,Red,Red,Normal,3,3
Normal,Normal,Normal,Red,Yellow,Red,Red,Red,4,4
Normal,Normal,Normal,Red,Yellow,Red,Red,Yellow,3,3
Normal,Normal,Normal,Red,Yellow,Red,Yellow,Normal,2,2
Normal,Normal,Normal,Red,Yellow,Red,Yellow,Red,3,3
Normal,Normal,Normal,Red,Yellow,Red,Yellow,Yellow,2,2
Normal,Normal,Normal,Red,Yellow,Yellow,Normal,Normal,1,1
Normal,Normal,Normal,Red,Yellow,Yellow,Normal,Red,2,2
Normal,Normal,Normal,Red,Yellow,Yellow,Normal,Yellow,1,1
Normal,Normal,Normal,Red,Yellow,Yellow,Red,Normal,2,2
Normal,Normal,Normal,Red,Yellow,Yellow,Red,Red,3,3
